Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
45, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ZHANG_QIAN, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 0
45, Granted to Player, GREAT_PERSON_INDIVIDUAL_IRENE_OF_ATHENS, GREAT_PERSON_CLASS_MERCHANT, ERA_MEDIEVAL, 75, 3, 45
45, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_GIOVANNI_DE_MEDICI, GREAT_PERSON_CLASS_MERCHANT, ERA_RENAISSANCE, 305, -1, -1
46, Great Person Activated, GREAT_PERSON_INDIVIDUAL_PIERO_DE_BARDI, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 6
46, Granted to Player, GREAT_PERSON_INDIVIDUAL_EL_CID, GREAT_PERSON_CLASS_GENERAL, ERA_MEDIEVAL, 75, 0, 46
46, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_AETHELFLAED, GREAT_PERSON_CLASS_GENERAL, ERA_MEDIEVAL, 75, -1, -1
46, Great Person Activated, GREAT_PERSON_INDIVIDUAL_IRENE_OF_ATHENS, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 3
47, Granted to Player, GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 75, 5, 47
47, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_IMHOTEP, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 75, -1, -1
47, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 5
47, Granted to Player, GREAT_PERSON_INDIVIDUAL_MICHELANGELO, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 120, 7, 47
47, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_DONATELLO, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 305, -1, -1
49, Great Person Activated, GREAT_PERSON_INDIVIDUAL_QU_YUAN, GREAT_PERSON_CLASS_WRITER, Era TBD, 7
50, Granted to Player, GREAT_PERSON_INDIVIDUAL_GEOFFREY_CHAUCER, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 75, 7, 50
50, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_LI_BAI, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 60, -1, -1
50, Granted to Player, GREAT_PERSON_INDIVIDUAL_AETHELFLAED, GREAT_PERSON_CLASS_GENERAL, ERA_MEDIEVAL, 75, 9, 50
50, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JOAN_OF_ARC, GREAT_PERSON_CLASS_GENERAL, ERA_RENAISSANCE, 155, -1, -1
51, Granted to Player, GREAT_PERSON_INDIVIDUAL_LI_BAI, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 60, 6, 51
51, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MURASAKI_SHIKIBU, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 60, -1, -1
51, Great Person Activated, GREAT_PERSON_INDIVIDUAL_QU_YUAN, GREAT_PERSON_CLASS_WRITER, Era TBD, 7
51, Great Person Activated, GREAT_PERSON_INDIVIDUAL_VALMIKI, GREAT_PERSON_CLASS_WRITER, Era TBD, 7
51, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MICHELANGELO, GREAT_PERSON_CLASS_ARTIST, Era TBD, 7
52, Great Person Activated, GREAT_PERSON_INDIVIDUAL_LI_BAI, GREAT_PERSON_CLASS_WRITER, Era TBD, 6
52, Granted to Player, GREAT_PERSON_INDIVIDUAL_IMHOTEP, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 75, 1, 52
52, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ISIDORE_OF_MILETUS, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 60, -1, -1
53, Great Person Activated, GREAT_PERSON_INDIVIDUAL_LI_BAI, GREAT_PERSON_CLASS_WRITER, Era TBD, 6
53, Great Person Deleted, GREAT_PERSON_INDIVIDUAL_MICHELANGELO, GREAT_PERSON_CLASS_ARTIST, Era TBD, 7
53, Granted to Player, GREAT_PERSON_INDIVIDUAL_HANNO_THE_NAVIGATOR, GREAT_PERSON_CLASS_ADMIRAL, ERA_CLASSICAL, 30, 8, 53
53, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHENG_HE, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 60, -1, -1
53, Granted to Player, GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 305, 9, 53
53, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ISAAC_NEWTON, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 155, -1, -1
53, Great Person Activated, GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 9
53, Granted to Player, GREAT_PERSON_INDIVIDUAL_ISAAC_NEWTON, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 155, 1, 53
53, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_IBN_KHALDUN, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 155, -1, -1
53, Granted to Player, GREAT_PERSON_INDIVIDUAL_ISIDORE_OF_MILETUS, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 60, 4, 53
53, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MIMAR_SINAN, GREAT_PERSON_CLASS_ENGINEER, ERA_RENAISSANCE, 155, -1, -1
54, Granted to Player, GREAT_PERSON_INDIVIDUAL_IBN_KHALDUN, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 155, 5, 54
54, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_EMILIE_DU_CHATELET, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 155, -1, -1
54, Great Person Activated, GREAT_PERSON_INDIVIDUAL_IBN_KHALDUN, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 5
54, Granted to Player, GREAT_PERSON_INDIVIDUAL_MURASAKI_SHIKIBU, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 60, 6, 54
54, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_RUMI, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 60, -1, -1
54, Granted to Player, GREAT_PERSON_INDIVIDUAL_RUMI, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 60, 7, 54
54, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_WILLIAM_SHAKESPEARE, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 155, -1, -1
54, Granted to Player, GREAT_PERSON_INDIVIDUAL_EMILIE_DU_CHATELET, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 155, 7, 54
54, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_DMITRI_MENDELEEV, GREAT_PERSON_CLASS_SCIENTIST, ERA_INDUSTRIAL, 535, -1, -1
54, Great Person Activated, GREAT_PERSON_INDIVIDUAL_HANNO_THE_NAVIGATOR, GREAT_PERSON_CLASS_ADMIRAL, Era TBD, 8
54, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ISAAC_NEWTON, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 1
55, Great Person Activated, GREAT_PERSON_INDIVIDUAL_EMILIE_DU_CHATELET, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 7
55, Great Person Activated, GREAT_PERSON_INDIVIDUAL_VALMIKI, GREAT_PERSON_CLASS_WRITER, Era TBD, 7
55, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ISIDORE_OF_MILETUS, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 4
55, Granted to Player, GREAT_PERSON_INDIVIDUAL_ZHENG_HE, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 60, 3, 55
55, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_LEIF_ERIKSON, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 60, -1, -1
56, Great Person Activated, GREAT_PERSON_INDIVIDUAL_RUMI, GREAT_PERSON_CLASS_WRITER, Era TBD, 7
56, Granted to Player, GREAT_PERSON_INDIVIDUAL_JOAN_OF_ARC, GREAT_PERSON_CLASS_GENERAL, ERA_RENAISSANCE, 155, 8, 56
56, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ANA_NZINGA, GREAT_PERSON_CLASS_GENERAL, ERA_RENAISSANCE, 155, -1, -1
56, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ZHENG_HE, GREAT_PERSON_CLASS_ADMIRAL, Era TBD, 3
56, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ISIDORE_OF_MILETUS, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 4
56, Granted to Player, GREAT_PERSON_INDIVIDUAL_ANA_NZINGA, GREAT_PERSON_CLASS_GENERAL, ERA_RENAISSANCE, 155, 4, 56
56, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_GUSTAVUS_ADOLPHUS, GREAT_PERSON_CLASS_GENERAL, ERA_RENAISSANCE, 155, -1, -1
57, Granted to Player, GREAT_PERSON_INDIVIDUAL_LEIF_ERIKSON, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 60, 6, 57
57, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_RAJENDRA_CHOLA, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 60, -1, -1
57, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MURASAKI_SHIKIBU, GREAT_PERSON_CLASS_WRITER, Era TBD, 6
57, Granted to Player, GREAT_PERSON_INDIVIDUAL_DIMITRIE_CANTEMIR, GREAT_PERSON_CLASS_MUSICIAN, ERA_INDUSTRIAL, 210, 7, 57
57, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ANTONIO_VIVALDI, GREAT_PERSON_CLASS_MUSICIAN, ERA_INDUSTRIAL, 535, -1, -1
57, Great Person Deleted, GREAT_PERSON_INDIVIDUAL_DIMITRIE_CANTEMIR, GREAT_PERSON_CLASS_MUSICIAN, Era TBD, 7
58, Granted to Player, GREAT_PERSON_INDIVIDUAL_MIMAR_SINAN, GREAT_PERSON_CLASS_ENGINEER, ERA_RENAISSANCE, 155, 5, 58
58, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_LEONARDO_DA_VINCI, GREAT_PERSON_CLASS_ENGINEER, ERA_RENAISSANCE, 155, -1, -1
58, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MIMAR_SINAN, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 5
58, Great Person Deleted, GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 5
58, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MURASAKI_SHIKIBU, GREAT_PERSON_CLASS_WRITER, Era TBD, 6
58, Great Person Activated, GREAT_PERSON_INDIVIDUAL_LEIF_ERIKSON, GREAT_PERSON_CLASS_ADMIRAL, Era TBD, 6
58, Great Person Activated, GREAT_PERSON_INDIVIDUAL_IMHOTEP, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 1
58, Granted to Player, GREAT_PERSON_INDIVIDUAL_MIMAR_SINAN, GREAT_PERSON_CLASS_ENGINEER, ERA_RENAISSANCE, 155, 5, 58
58, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_LEONARDO_DA_VINCI, GREAT_PERSON_CLASS_ENGINEER, ERA_RENAISSANCE, 155, -1, -1
58, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MIMAR_SINAN, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 5
58, Great Person Deleted, GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 5
58, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MURASAKI_SHIKIBU, GREAT_PERSON_CLASS_WRITER, Era TBD, 6
58, Great Person Activated, GREAT_PERSON_INDIVIDUAL_LEIF_ERIKSON, GREAT_PERSON_CLASS_ADMIRAL, Era TBD, 6
59, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MIMAR_SINAN, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 5
59, Granted to Player, GREAT_PERSON_INDIVIDUAL_RAJENDRA_CHOLA, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 60, 6, 59
59, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HIMERIOS, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 60, -1, -1
59, Granted to Player, GREAT_PERSON_INDIVIDUAL_WILLIAM_SHAKESPEARE, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 155, 7, 59
59, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MIGUEL_DE_CERVANTES, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 155, -1, -1
