Game Turn, Mode, Player, Unit, Operation
Unit operation handler f4921fdc, is disabled
Unit operation handler a92585ad, is disabled
Unit operation handler 6e290af6, is disabled
Unit operation handler 8c676517, is disabled
040, Adding, 6, UNIT_HEAVY_CHARIOT (2359322), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_CATAPULT (2490396), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SWORDSMAN (2752542), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SWORDSMAN (3145761), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SWORDSMAN (3866664), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_MISSIONARY (3735557), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_MISSIONARY (3735557), UNITOPERATION_REMOVE_HERESY (29)
040, Can't Start, 6, UNIT_MISSIONARY (3735557), UNITOPERATION_REMOVE_HERESY (29)
040, Adding, 6, UNIT_MISSIONARY (2031623), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_TAOIST (786440), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_MISSIONARY (1900556), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_MISSIONARY (2162711), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_MISSIONARY (2293785), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_MISSIONARY (2424859), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_MISSIONARY (2424859), UNITOPERATION_SPREAD_RELIGION (38)
040, Adding, 6, UNIT_MISSIONARY (2555933), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_MISSIONARY (2883615), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_MISSIONARY (3342372), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SKIRMISHER (3473440), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SKIRMISHER (3473440), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SKIRMISHER (3997738), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SKIRMISHER (4194308), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SKIRMISHER (4390927), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SKIRMISHER (3407909), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SKIRMISHER (3801127), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SKIRMISHER (4194308), UNITOPERATION_SKIP_TURN (36)
040, Adding, 6, UNIT_SKIRMISHER (4390927), UNITOPERATION_SKIP_TURN (36)
040, Adding, 6, UNIT_SKIRMISHER (3407909), UNITOPERATION_SKIP_TURN (36)
040, Adding, 6, UNIT_SKIRMISHER (3801127), UNITOPERATION_SKIP_TURN (36)
040, Can't Start, 6, UNIT_MISSIONARY (3735557), UNITOPERATION_REMOVE_HERESY (29)
040, Adding, 7, UNIT_SWORDSMAN (3342355), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SETTLER (4128794), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_WARRIOR (1835031), UNITOPERATION_MOVE_TO (19)
040, Can't Start, 7, UNIT_WARRIOR (1835031), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SKIRMISHER (3407907), UNITOPERATION_MOVE_TO (19)
040, Can't Start, 7, UNIT_SKIRMISHER (3407907), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SWORDSMAN (3801104), UNITOPERATION_MOVE_TO (19)
040, Can't Start, 7, UNIT_SWORDSMAN (3801104), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_WARRIOR (1900568), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SWORDSMAN (4063235), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_CATAPULT (4456488), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SWORDSMAN (3473444), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SKIRMISHER (3670036), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SWORDSMAN (2490398), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SWORDSMAN (3211279), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SKIRMISHER (3932181), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SWORDSMAN (3080201), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_WARRIOR (131073), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 7, UNIT_WARRIOR (131073), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 7, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SCOUT (589826), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 7, UNIT_SCOUT (589826), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 7, UNIT_SCOUT (589826), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SCOUT (393220), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 7, UNIT_SCOUT (393220), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 7, UNIT_SCOUT (393220), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_WARRIOR (1376261), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 7, UNIT_WARRIOR (1376261), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 7, UNIT_WARRIOR (1376261), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_WARRIOR (655367), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 7, UNIT_WARRIOR (655367), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 7, UNIT_WARRIOR (655367), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_WARRIOR (1048588), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 7, UNIT_WARRIOR (1048588), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 7, UNIT_WARRIOR (1048588), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_BUILDER (4390920), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 7, UNIT_BUILDER (4390920), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 7, UNIT_BUILDER (4390920), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_BUILDER (4194342), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 7, UNIT_BUILDER (4194342), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 7, UNIT_BUILDER (4194342), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_BUILDER (4194342), UNITOPERATION_BUILD_IMPROVEMENT (2)
040, Adding, 7, UNIT_BUILDER (2293788), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 7, UNIT_BUILDER (2293788), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 7, UNIT_BUILDER (2293788), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_BUILDER (2293788), UNITOPERATION_BUILD_IMPROVEMENT (2)
040, Adding, 7, UNIT_BUILDER (4325403), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 7, UNIT_BUILDER (4325403), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 7, UNIT_BUILDER (4325403), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_BUILDER (4325403), UNITOPERATION_REMOVE_FEATURE (28)
040, Adding, 7, UNIT_BUILDER (4325403), UNITOPERATION_BUILD_IMPROVEMENT (2)
040, Can't Start, 7, UNIT_BUILDER (4325403), UNITOPERATION_BUILD_IMPROVEMENT (2)
040, Adding, 7, UNIT_SWORDSMAN (4259879), UNITOPERATION_FORTIFY (12)
040, Adding, 7, UNIT_WARRIOR (1769494), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SKIRMISHER (3866661), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SKIRMISHER (3866661), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_TAOIST (851968), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SKIRMISHER (3735570), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SKIRMISHER (3538973), UNITOPERATION_MOVE_TO (19)
040, Adding, 7, UNIT_SKIRMISHER (3735570), UNITOPERATION_SKIP_TURN (36)
040, Adding, 7, UNIT_SKIRMISHER (3538973), UNITOPERATION_SKIP_TURN (36)
040, Can't Start, 7, UNIT_BUILDER (4325403), UNITOPERATION_BUILD_IMPROVEMENT (2)
040, Adding, 8, UNIT_TRADER (1048588), UNITOPERATION_MAKE_TRADE_ROUTE (18)
040, Can't Start, 8, UNIT_TRADER (1048588), UNITOPERATION_MAKE_TRADE_ROUTE (18)
040, Adding, 8, UNIT_SETTLER (4194340), UNITOPERATION_MOVE_TO (19)
040, Can't Start, 8, UNIT_SETTLER (4194340), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_HORSEMAN (2752528), UNITOPERATION_MOVE_TO (19)
040, Can't Start, 8, UNIT_HORSEMAN (2752528), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_CATAPULT (3342336), UNITOPERATION_MOVE_TO (19)
040, Can't Start, 8, UNIT_CATAPULT (3342336), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SETTLER (4194340), UNITOPERATION_FOUND_CITY (14)
040, Adding, 8, UNIT_SCOUT (458757), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 8, UNIT_SCOUT (458757), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 8, UNIT_SCOUT (458757), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SCOUT (589831), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 8, UNIT_SCOUT (589831), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 8, UNIT_SCOUT (589831), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SCOUT (720904), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 8, UNIT_SCOUT (720904), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 8, UNIT_SCOUT (720904), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_HORSEMAN (2424853), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_ARCHER (1966102), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 8, UNIT_ARCHER (1966102), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 8, UNIT_ARCHER (1966102), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SWORDSMAN (3014688), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 8, UNIT_SWORDSMAN (3014688), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 8, UNIT_SWORDSMAN (3014688), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_ARCHER (1966102), UNITOPERATION_RANGE_ATTACK (26)
040, Adding, 8, UNIT_ARCHER (1966102), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SWORDSMAN (3014688), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SWORDSMAN (3145762), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_CATAPULT (3276804), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SWORDSMAN (3080225), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SWORDSMAN (3932199), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SWORDSMAN (4915249), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_VIETNAMESE_VOI_CHIEN (5439490), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_HORSEMAN (2228250), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_HORSEMAN (3604499), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_SWORDSMAN (4653103), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_WARRIOR (1376271), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 8, UNIT_WARRIOR (1376271), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 8, UNIT_WARRIOR (1376271), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_BUILDER (4718593), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 8, UNIT_BUILDER (4718593), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 8, UNIT_BUILDER (4718593), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_BUILDER (4718593), UNITOPERATION_BUILD_IMPROVEMENT (2)
040, Adding, 8, UNIT_BUILDER (5636139), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 8, UNIT_BUILDER (5636139), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 8, UNIT_BUILDER (5636139), UNITOPERATION_MOVE_TO (19)
040, Adding, 8, UNIT_BUILDER (5636139), UNITOPERATION_BUILD_IMPROVEMENT (2)
