Game Turn, City, Production Added, Current Item, Current Production, Production Needed, Overflow
41, LOC_CITY_NAME_TIMBUKTU, 18.4, BUILDING_GRANARY, 46.4, 32, 14.4
41, LOC_CITY_NAME_WALATA, 26.3, DISTRICT_CAMPUS, 26.3, 50, 0.0
41, LOC_CITY_NAME_KUMBI_SALEH, 13.0, BUILDING_SHRINE, 38.0, 35, 3.0
41, LOC_CITY_NAME_GAO, 8.6, DISTRICT_HOLY_SITE, 39.6, 61, 0.0
41, LOC_CITY_NAME_AWDAGHUST, 10.0, BUILDING_MARKET, 43.0, 60, 0.0
41, LOC_CITY_NAME_KIRINA, 6.0, DISTRICT_HOLY_SITE, 14.0, 73, 0.0
41, LOC_CITY_NAME_MEROE, 36.8, UNIT_BUILDER, 86.9, 57, 27.8
41, LOC_CITY_NAME_SEDEINGA, 48.9, DISTRICT_INDUSTRIAL_ZONE, 94.4, 55, 25.3
41, LOC_CITY_NAME_KERMA, 31.3, BUILDING_LIBRARY, 62.6, 45, 17.6
41, LOC_CITY_NAME_KAWA, 13.9, BUILDING_MARKET, 13.9, 60, 0.0
41, LOC_CITY_NAME_EL_KURRU, 11.6, BUILDING_MARKET, 26.2, 60, 0.0
41, LOC_CITY_NAME_QASR_IBRIM, 5.8, BUILDING_MONUMENT, 7.0, 30, 0.0
41, LOC_CITY_NAME_HEH, 1.6, DISTRICT_COMMERCIAL_HUB, 3.3, 85, 0.0
41, LOC_CITY_NAME_SHAAT, 3.3, DISTRICT_COMMERCIAL_HUB, 3.3, 85, 0.0
41, LOC_CITY_NAME_KARKAR, 56.1, UNIT_SETTLER, 56.1, 115, 0.0
41, LOC_CITY_NAME_BORSIPPA, 38.4, BUILDING_LIBRARY, 38.4, 45, 0.0
41, LOC_CITY_NAME_DUR_KURIGALZU, 37.0, DISTRICT_COMMERCIAL_HUB, 83.4, 65, 18.4
42, LOC_CITY_NAME_PELLA, 65.6, PROJECT_ENHANCE_DISTRICT_INDUSTRIAL_ZONE, 65.6, 63, 25.2
42, LOC_CITY_NAME_ALEXANDRIA_TROAS, 42.2, UNIT_SETTLER, 116.8, 100, 16.8
42, LOC_CITY_NAME_CHALKIDIKI, 20.3, PROJECT_ENHANCE_DISTRICT_CAMPUS, 59.9, 63, 0.0
42, LOC_CITY_NAME_ALEXANDRIA_LATMUS, 20.3, PROJECT_ENHANCE_DISTRICT_CAMPUS, 58.0, 63, 0.0
42, LOC_CITY_NAME_FEZ, 37.0, UNIT_CROSSBOWMAN, 102.0, 90, 21.4
42, LOC_CITY_NAME_METHONE, 23.2, BUILDING_WATER_MILL, 62.1, 40, 22.1
