Game Turn, Event, Attacker, Unit, Defender, Unit, Mayhem, Current Total
43, Declare war, 14, , 8, , 2.0, 2203.0
43, Declare war, 14, , 9, , 2.0, 2205.0
43, Declare war, 14, , 5, , 2.0, 2207.0
43, Declare war, 14, , 6, , 2.0, 2209.0
43, Declare war, 14, , 7, , 2.0, 2211.0
43, Declare war, 14, , 8, , 2.0, 2213.0
43, Declare war, 14, , 9, , 2.0, 2215.0
44, Combat, 5, UNIT_MACEDONIAN_HETAIROI, 2, UNIT_WARRIOR, 1.0, 2216.0
44, Death, 5, UNIT_MACEDONIAN_HETAIROI, 2, UNIT_WARRIOR, 1.0, 2217.0
44, Combat, 8, UNIT_HORSEMAN, 16, UNIT_SWORDSMAN, 1.0, 2218.0
44, Combat, 8, UNIT_SWORDSMAN, 16, UNIT_SWORDSMAN, 1.0, 2219.0
44, Death, 8, UNIT_SWORDSMAN, 16, UNIT_SWORDSMAN, 1.0, 2220.0
44, Combat, 9, UNIT_TREBUCHET, 4, UNIT_SCOUT, 1.0, 2221.0
44, Combat, 16, UNIT_CROSSBOWMAN, 8, UNIT_SWORDSMAN, 1.0, 2222.0
44, Death, 16, UNIT_CROSSBOWMAN, 8, UNIT_SWORDSMAN, 1.0, 2223.0
44, Combat, 16, District, 8, UNIT_HORSEMAN, 1.0, 2224.0
44, Combat, 0, UNIT_EGYPTIAN_CHARIOT_ARCHER, 5, UNIT_MACEDONIAN_HETAIROI, 1.0, 2225.0
44, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_MAN_AT_ARMS, 1.0, 2226.0
44, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_CROSSBOWMAN, 1.0, 2227.0
44, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_CROSSBOWMAN, 1.0, 2228.0
44, Death, 4, UNIT_CROSSBOWMAN, 9, UNIT_CROSSBOWMAN, 1.0, 2229.0
44, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_MAN_AT_ARMS, 1.0, 2230.0
44, Declare war, 17, , 5, , 2.0, 2232.0
44, Declare war, 17, , 6, , 2.0, 2234.0
44, Declare war, 17, , 7, , 2.0, 2236.0
44, Declare war, 17, , 8, , 2.0, 2238.0
44, Declare war, 17, , 9, , 2.0, 2240.0
44, Declare war, 17, , 5, , 2.0, 2242.0
44, Declare war, 17, , 6, , 2.0, 2244.0
44, Declare war, 17, , 7, , 2.0, 2246.0
44, Declare war, 17, , 8, , 2.0, 2248.0
44, Declare war, 17, , 9, , 2.0, 2250.0
44, Declare war, 17, , 5, , 2.0, 2252.0
44, Declare war, 17, , 6, , 2.0, 2254.0
44, Declare war, 17, , 7, , 2.0, 2256.0
44, Declare war, 17, , 8, , 2.0, 2258.0
44, Declare war, 17, , 9, , 2.0, 2260.0
44, Declare war, 17, , 5, , 2.0, 2262.0
44, Declare war, 17, , 6, , 2.0, 2264.0
44, Declare war, 17, , 7, , 2.0, 2266.0
44, Declare war, 17, , 8, , 2.0, 2268.0
44, Declare war, 17, , 9, , 2.0, 2270.0
44, Declare war, 17, , 5, , 2.0, 2272.0
44, Declare war, 17, , 6, , 2.0, 2274.0
44, Declare war, 17, , 7, , 2.0, 2276.0
44, Declare war, 17, , 8, , 2.0, 2278.0
44, Declare war, 17, , 9, , 2.0, 2280.0
44, Declare war, 17, , 5, , 2.0, 2282.0
44, Declare war, 17, , 6, , 2.0, 2284.0
44, Declare war, 17, , 7, , 2.0, 2286.0
44, Declare war, 17, , 8, , 2.0, 2288.0
44, Declare war, 17, , 9, , 2.0, 2290.0
44, Declare war, 17, , 5, , 2.0, 2292.0
44, Declare war, 17, , 6, , 2.0, 2294.0
44, Declare war, 17, , 7, , 2.0, 2296.0
44, Declare war, 17, , 8, , 2.0, 2298.0
44, Declare war, 17, , 9, , 2.0, 2300.0
44, Declare war, 17, , 5, , 2.0, 2302.0
44, Declare war, 17, , 6, , 2.0, 2304.0
44, Declare war, 17, , 7, , 2.0, 2306.0
44, Declare war, 17, , 8, , 2.0, 2308.0
44, Declare war, 17, , 9, , 2.0, 2310.0
44, Declare war, 17, , 5, , 2.0, 2312.0
44, Declare war, 17, , 6, , 2.0, 2314.0
44, Declare war, 17, , 7, , 2.0, 2316.0
44, Declare war, 17, , 8, , 2.0, 2318.0
44, Declare war, 17, , 9, , 2.0, 2320.0
44, Declare war, 17, , 5, , 2.0, 2322.0
44, Declare war, 17, , 6, , 2.0, 2324.0
44, Declare war, 17, , 7, , 2.0, 2326.0
44, Declare war, 17, , 8, , 2.0, 2328.0
44, Declare war, 17, , 9, , 2.0, 2330.0
44, Declare war, 17, , 5, , 2.0, 2332.0
44, Declare war, 17, , 6, , 2.0, 2334.0
44, Declare war, 17, , 7, , 2.0, 2336.0
44, Declare war, 17, , 8, , 2.0, 2338.0
44, Declare war, 17, , 9, , 2.0, 2340.0
44, Declare war, 17, , 5, , 2.0, 2342.0
44, Declare war, 17, , 6, , 2.0, 2344.0
44, Declare war, 17, , 7, , 2.0, 2346.0
44, Declare war, 17, , 8, , 2.0, 2348.0
44, Declare war, 17, , 9, , 2.0, 2350.0
44, Declare war, 17, , 5, , 2.0, 2352.0
44, Declare war, 17, , 6, , 2.0, 2354.0
44, Declare war, 17, , 7, , 2.0, 2356.0
44, Declare war, 17, , 8, , 2.0, 2358.0
44, Declare war, 17, , 9, , 2.0, 2360.0
44, Declare war, 17, , 5, , 2.0, 2362.0
44, Declare war, 17, , 6, , 2.0, 2364.0
44, Declare war, 17, , 7, , 2.0, 2366.0
44, Declare war, 17, , 8, , 2.0, 2368.0
44, Declare war, 17, , 9, , 2.0, 2370.0
44, Declare war, 17, , 5, , 2.0, 2372.0
44, Declare war, 17, , 6, , 2.0, 2374.0
44, Declare war, 17, , 7, , 2.0, 2376.0
44, Declare war, 17, , 8, , 2.0, 2378.0
44, Declare war, 17, , 9, , 2.0, 2380.0
45, Combat, 7, UNIT_SKIRMISHER, 16, UNIT_CROSSBOWMAN, 1.0, 2381.0
45, Combat, 7, UNIT_SWORDSMAN, 14, UNIT_CATAPULT, 1.0, 2382.0
45, Combat, 8, UNIT_VIETNAMESE_VOI_CHIEN, 16, UNIT_CROSSBOWMAN, 1.0, 2383.0
45, Death, 8, UNIT_VIETNAMESE_VOI_CHIEN, 16, UNIT_CROSSBOWMAN, 1.0, 2384.0
45, Combat, 9, UNIT_TREBUCHET, 4, UNIT_SCOUT, 1.0, 2385.0
45, Combat, 9, UNIT_MAN_AT_ARMS, 4, UNIT_VAMPIRE, 1.0, 2386.0
45, Death, 4, UNIT_VAMPIRE, 9, UNIT_MAN_AT_ARMS, 1.0, 2387.0
45, Combat, 14, UNIT_SWORDSMAN, 7, UNIT_SWORDSMAN, 1.0, 2388.0
45, Combat, 14, District, 7, UNIT_SWORDSMAN, 1.0, 2389.0
45, Combat, 16, District, 8, UNIT_ARCHER, 1.0, 2390.0
45, Death, 16, DISTRICT_CITY_CENTER, 8, UNIT_ARCHER, 1.0, 2391.0
45, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_TREBUCHET, 1.0, 2392.0
45, Combat, 4, UNIT_CROSSBOWMAN, 9, UNIT_TREBUCHET, 1.0, 2393.0
