Player,FromPlayer,Delta,New Total Weariness,Reason
0, 5, -50, 938, At War Decay
2, 5, -50, 18, At War Decay
4, 8, -50, 1, At War Decay
4, 9, -50, 1387, At War Decay
2, 5, 68, 86, Attacking
4, 9, 25, 1412, Attacking
4, 8, 51, 52, Attacking
4, 8, 25, 77, Attacking
4, 8, 25, 102, Attacking
4, 9, 51, 1463, Attacking
4, 9, 51, 1514, Attacking
4, 9, 51, 1565, Attacking
0, 5, 68, 1006, Attacking
0, 5, 68, 1074, Attacking
0, 5, 68, 1142, Attacking
0, 5, 68, 1210, Attacking
0, 5, 68, 1278, Attacking
8, 4, -50, 18, At War Decay
9, 4, -50, 1221, At War Decay
9, 4, 68, 1289, Attacking
0, 5, -50, 1228, At War Decay
2, 5, -50, 36, At War Decay
4, 8, -50, 52, At War Decay
4, 9, -50, 1515, At War Decay
2, 5, 68, 104, Attacking
0, 5, 68, 1296, Attacking
0, 5, 68, 1364, Attacking
0, 5, 68, 1432, Attacking
0, 5, 68, 1500, Attacking
4, 9, 51, 1566, Attacking
4, 9, 51, 1617, Attacking
4, 9, 51, 1668, Attacking
0, 5, 68, 1568, Attacking
8, 4, -50, 0, At War Decay
9, 4, -50, 1239, At War Decay
9, 4, 34, 1273, Attacking
9, 4, 68, 1341, Attacking
0, 5, -50, 1518, At War Decay
20, 5, -2000, 0, We Made Peace
5, 20, -2000, 0, They Made Peace
20, 6, -2000, 0, We Made Peace
6, 20, -2000, 0, They Made Peace
20, 7, -2000, 0, We Made Peace
7, 20, -2000, 0, They Made Peace
20, 8, -2000, 0, We Made Peace
8, 20, -2000, 0, They Made Peace
20, 9, -2000, 0, We Made Peace
9, 20, -2000, 0, They Made Peace
20, 10, -2000, 0, We Made Peace
10, 20, -2000, 0, They Made Peace
20, 17, -2000, 0, We Made Peace
17, 20, -2000, 0, They Made Peace
2, 5, -50, 54, At War Decay
4, 8, -50, 2, At War Decay
4, 9, -50, 1618, At War Decay
0, 5, 68, 1586, Attacking
0, 5, 68, 1654, Attacking
0, 5, 68, 1722, Attacking
0, 5, 34, 1756, Attacking
4, 9, 51, 1669, Attacking
18, 0, -2000, 0, We Made Peace
0, 18, -2000, 0, They Made Peace
18, 1, -2000, 0, We Made Peace
1, 18, -2000, 0, They Made Peace
12, 18, -2000, 0, We Made Peace
18, 12, -2000, 0, They Made Peace
13, 18, -2000, 0, We Made Peace
18, 13, -2000, 0, They Made Peace
18, 2, -2000, 0, We Made Peace
2, 18, -2000, 0, They Made Peace
15, 18, -2000, 0, We Made Peace
18, 15, -2000, 0, They Made Peace
18, 3, -2000, 0, We Made Peace
3, 18, -2000, 0, They Made Peace
18, 4, -2000, 0, We Made Peace
4, 18, -2000, 0, They Made Peace
14, 18, -2000, 0, We Made Peace
18, 14, -2000, 0, They Made Peace
4, 9, 51, 1720, Attacking
4, 9, 51, 1771, Attacking
10, 0, -2000, 0, We Made Peace
0, 10, -2000, 0, They Made Peace
10, 1, -2000, 0, We Made Peace
1, 10, -2000, 0, They Made Peace
10, 2, -2000, 0, We Made Peace
2, 10, -2000, 0, They Made Peace
10, 3, -2000, 0, We Made Peace
3, 10, -2000, 0, They Made Peace
10, 4, -2000, 0, We Made Peace
4, 10, -2000, 0, They Made Peace
10, 12, -2000, 0, We Made Peace
12, 10, -2000, 0, They Made Peace
10, 13, -2000, 0, We Made Peace
13, 10, -2000, 0, They Made Peace
10, 14, -2000, 0, We Made Peace
14, 10, -2000, 0, They Made Peace
10, 15, -2000, 0, We Made Peace
15, 10, -2000, 0, They Made Peace
10, 18, -2000, 0, We Made Peace
18, 10, -2000, 0, They Made Peace
9, 4, -50, 1291, At War Decay
17, 0, -2000, 0, We Made Peace
0, 17, -2000, 0, They Made Peace
17, 1, -2000, 0, We Made Peace
1, 17, -2000, 0, They Made Peace
17, 2, -2000, 0, We Made Peace
2, 17, -2000, 0, They Made Peace
17, 3, -2000, 0, We Made Peace
3, 17, -2000, 0, They Made Peace
17, 4, -2000, 0, We Made Peace
4, 17, -2000, 0, They Made Peace
17, 12, -2000, 0, We Made Peace
