Game Turn, Player, Category, Target Type, Target Info, Unit Info, Extra
9, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 14 17
9, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 11 56
9, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 9 57
9, 17, HL: End Turn, , , UNIT_BUILDER (262144)
9, 2, Wander, , , UNIT_WARRIOR (131073), Move To: 5 42
9, 2, HL: End Turn, , , UNIT_SCOUT (196608)
9, 2, HL: End Turn, , , UNIT_SCOUT (262146)
9, 2, HL: End Turn, , , UNIT_SCOUT (327683)
9, 0, Support Formation, , , UNIT_WARRIOR (131073), 29 61
9, 0, Support Formation, , , UNIT_VAMPIRE (262146), 29 61
9, 0, HL: Build Improvement, , , UNIT_BUILDER, Move -9999 -9999
9, 0, HL: Build Improvement, , , UNIT_BUILDER, Move -9999 -9999
9, 0, HL: End Turn, , , UNIT_SCOUT (196608)
9, 0, HL: End Turn, , , UNIT_BUILDER (327683)
9, 0, HL: End Turn, , , UNIT_SETTLER (393220)
9, 0, HL: End Turn, , , UNIT_BUILDER (458757)
9, 3, Support Formation, , , UNIT_VAMPIRE (196608), 30 15
9, 3, Support Formation, , , UNIT_WARRIOR (131073), 30 15
9, 3, HL: End Turn, , , UNIT_SCOUT (262146)
9, 3, HL: End Turn, , , UNIT_BUILDER (327683)
9, 3, HL: End Turn, , , UNIT_SCOUT (393220)
9, 3, HL: End Turn, , , UNIT_SETTLER (458757)
1, 5, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 5, HL: Explore, , , UNIT_WARRIOR (131073), Move To: 24 72
1, 5, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 6, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 6, HL: Explore, , , UNIT_WARRIOR (131073), Move To: 11 58
1, 6, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 7, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 7, HL: Explore, , , UNIT_WARRIOR (131073), Move To: 10 44
1, 7, HL: Explore, , , UNIT_WARRIOR (131073), Move To: 9 44
1, 7, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 8, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 8, HL: Explore, , , UNIT_WARRIOR (131073), Move To: 22 17
1, 8, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 9, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 10, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 10, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 10, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 11, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 11, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 11, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 12, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 12, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 12, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 13, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 13, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 13, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 14, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 14, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 14, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 15, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 15, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 15, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 16, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 16, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 16, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 17, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 17, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 17, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 18, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 18, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 18, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 19, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 19, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 19, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 20, HL: First turn settler, , , UNIT_SETTLER (65536)
1, 20, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 20, HL: End Turn, , , UNIT_WARRIOR (196610)
1, 21, First Turn Settler Fallback, , , UNIT_SETTLER (65536), Move To: 66 70
1, 21, HL: End Turn, , , UNIT_WARRIOR (131073)
1, 21, HL: End Turn, , , UNIT_WARRIOR (196610)
2, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 69 16
2, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 70 15
2, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 20 56
2, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 22 57
2, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 66 71
2, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 64 73
2, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 58 3
2, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 58 4
2, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 2 28
2, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 2 26
2, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 61 22
2, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 60 23
2, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 8 25
2, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 10 22
2, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 57 74
2, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 59 75
2, 18, Wander, , , UNIT_WARRIOR (131073), Move To: 33 73
2, 18, Wander, , , UNIT_WARRIOR (196610), Move To: 35 75
2, 19, Wander, , , UNIT_WARRIOR (131073), Move To: 13 67
2, 19, Wander, , , UNIT_WARRIOR (196610), Move To: 16 69
2, 20, Wander, , , UNIT_WARRIOR (131073), Move To: 65 27
2, 20, Wander, , , UNIT_WARRIOR (196610), Move To: 69 28
2, 21, First Turn Settler Fallback, , , UNIT_SETTLER (65536), Move To: 65 68
2, 21, HL: End Turn, , , UNIT_WARRIOR (131073)
2, 21, HL: End Turn, , , UNIT_WARRIOR (196610)
3, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 69 15
3, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 71 16
3, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 21 56
3, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 23 58
3, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 65 73
3, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 65 72
3, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 59 4
3, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 58 3
3, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 1 27
3, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 2 27
