Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
1, 1, 3, 对您的第一印象, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
1, 1,  3, 对您的第一印象, Deactivate
1, 1, 3, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 3, 1, 对您的第一印象, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
1, 3,  1, 对您的第一印象, Deactivate
1, 3, 1, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 1, 4, 对您的第一印象, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
1, 1,  4, 对您的第一印象, Deactivate
1, 1, 4, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 4, 1, 对您的第一印象, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
1, 4,  1, 对您的第一印象, Deactivate
1, 4, 1, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 2, 3, 对您的第一印象, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
1, 2,  3, 对您的第一印象, Deactivate
1, 2, 3, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 3, 2, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 2, 4, 对您的第一印象, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
1, 2,  4, 对您的第一印象, Deactivate
1, 2, 4, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 4, 2, 对您的第一印象, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
1, 4,  2, 对您的第一印象, Deactivate
1, 4, 2, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 3, 4, 对您的第一印象, Activate,    2.0,    2.0,    1.0, 0, 10,    1.0
1, 3,  4, 对您的第一印象, Deactivate
1, 3, 4, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 4, 3, 对您的第一印象, Activate,   -4.0,   -4.0,    1.0, 0, 10,    1.0
1, 4,  3, 对您的第一印象, Deactivate
1, 4, 3, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 5, 6, 对您的第一印象, Activate,    2.0,    2.0,    1.0, 0, 10,    1.0
1, 5,  6, 对您的第一印象, Deactivate
1, 5, 6, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 6, 5, 对您的第一印象, Activate,   -3.0,   -3.0,    1.0, 0, 10,    1.0
1, 6,  5, 对您的第一印象, Deactivate
1, 6, 5, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 5, 7, 对您的第一印象, Activate,    3.0,    3.0,    1.0, 0, 10,    1.0
1, 5,  7, 对您的第一印象, Deactivate
1, 5, 7, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 7, 5, 对您的第一印象, Activate,    3.0,    3.0,    1.0, 0, 10,    1.0
1, 7,  5, 对您的第一印象, Deactivate
1, 7, 5, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 5, 8, 对您的第一印象, Activate,   -3.0,   -3.0,    1.0, 0, 10,    1.0
1, 5,  8, 对您的第一印象, Deactivate
1, 5, 8, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 8, 5, 对您的第一印象, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
1, 8,  5, 对您的第一印象, Deactivate
1, 8, 5, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 5, 9, 对您的第一印象, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
1, 5,  9, 对您的第一印象, Deactivate
