Game Turn, Player, Regional Strength, Enemy Strength, Other Strength, Current Explorers, Desired Explorers, Fav Tech, Combat Desire
4, 19, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
4, 20, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
4, 21, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
4, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
4, 0, 50, 0, 0, 3:0, 2:1, NO_TECH, 0.1
4, 1, 37, 0, 0, 2:0, 1:1, NO_TECH, 0.1
4, 2, 30, 0, 0, 2:0, 1:1, NO_TECH, 0.1
4, 3, 10, 0, 0, 2:0, 1:1, NO_TECH, 0.1
4, 4, 50, 0, 20, 3:0, 1:1, NO_TECH, 0.1
5, 5, 20, 0, 0, 1:0, 3:1, NO_TECH, 0.1
5, 6, 30, 0, 0, 1:0, 3:1, NO_TECH, 0.1
5, 7, 30, 0, 30, 1:0, 3:1, NO_TECH, 0.0
5, 8, 40, 0, 30, 2:0, 3:1, NO_TECH, 0.1
5, 9, 30, 0, 0, 1:0, 3:1, NO_TECH, 0.1
5, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 11, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 12, 40, 0, 40, 0:0, 0:0, NO_TECH, 0.0
5, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 14, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 17, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 18, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 19, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 20, 20, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 21, 40, 0, 40, 0:0, 0:0, NO_TECH, 0.0
5, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
5, 0, 50, 0, 0, 3:0, 2:1, NO_TECH, 0.0
5, 1, 54, 0, 10, 3:0, 0:0, NO_TECH, 0.1
5, 2, 40, 0, 0, 3:0, 0:0, NO_TECH, 0.1
5, 3, 10, 0, 17, 2:0, 1:1, NO_TECH, 0.1
5, 4, 50, 0, 20, 3:0, 1:1, NO_TECH, 0.0
