Game Turn, Player, BY TYPE: Tiles, Buildings, Districts, Population, Outgoing Trade Routes, TOURISM, Diplo Victory, BALANCE: Favor, LIFETIME: Favor, CO2 Per Turn
9, CIVILIZATION_BUENOS_AIRES, 7, 10, 0, 2, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_MEXICO_CITY, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_PERSIA, 9, 10, 0, 2, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_BABYLON_STK, 8, 10, 0, 2, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_INDIA, 9, 10, 0, 3, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_NUBIA, 10, 10, 0, 1, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_MACEDON, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_BRAZIL, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_GERMANY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_VIETNAM, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_ROME, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_BABYLON, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_JERUSALEM, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_HATTUSA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_JOHANNESBURG, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_LISBON, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_VATICAN_CITY, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_VILNIUS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_YEREVAN, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_BUENOS_AIRES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_FEZ, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_KUMASI, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_PRESLAV, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_EGYPT, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_BABYLON_STK, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_INDIA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_MALI, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_NUBIA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_MACEDON, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_BRAZIL, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_GERMANY, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_VIETNAM, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_ROME, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_BABYLON, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_JERUSALEM, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_HATTUSA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_JOHANNESBURG, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_LISBON, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_VATICAN_CITY, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_VILNIUS, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_YEREVAN, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_BUENOS_AIRES, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_FEZ, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_KUMASI, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_PRESLAV, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_EGYPT, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_BABYLON_STK, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_INDIA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_MALI, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_NUBIA, 8, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_MACEDON, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_BRAZIL, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_GERMANY, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_VIETNAM, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_ROME, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_BABYLON, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_JERUSALEM, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_HATTUSA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_JOHANNESBURG, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_LISBON, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_VATICAN_CITY, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_VILNIUS, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_YEREVAN, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_BUENOS_AIRES, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_FEZ, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_KUMASI, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_PRESLAV, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_EGYPT, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_BABYLON_STK, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_INDIA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_MALI, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_NUBIA, 8, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_MACEDON, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_BRAZIL, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_GERMANY, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_VIETNAM, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_ROME, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_BABYLON, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_JERUSALEM, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_HATTUSA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_JOHANNESBURG, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_LISBON, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_VATICAN_CITY, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_VILNIUS, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_YEREVAN, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_BUENOS_AIRES, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_FEZ, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_KUMASI, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_PRESLAV, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_EGYPT, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_BABYLON_STK, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_INDIA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_MALI, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_NUBIA, 8, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_MACEDON, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_BRAZIL, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_GERMANY, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
