Game Turn, Player, Strategy, Status
1, 63, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 63, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 63, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 63, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 63, STRATEGY_MODERN_CHANGES, Forbidden
1, 63, STRATEGY_DARKAGE, Forbidden
1, 63, VICTORY_STRATEGY_DIPLOMATIC_VICTORY, Forbidden
1, 63, STRATEGY_ANCIENT_CHANGES, Forbidden
1, 0, STRATEGY_EARLY_EXPLORATION, Following
1, 0, STRATEGY_RAPID_EXPANSION, Following
1, 0, STRATEGY_ANCIENT_CHANGES, Following
1, 1, STRATEGY_EARLY_EXPLORATION, Following
1, 1, STRATEGY_RAPID_EXPANSION, Following
1, 1, STRATEGY_ANCIENT_CHANGES, Following
1, 2, STRATEGY_EARLY_EXPLORATION, Following
1, 2, STRATEGY_RAPID_EXPANSION, Following
1, 2, STRATEGY_ANCIENT_CHANGES, Following
1, 3, STRATEGY_EARLY_EXPLORATION, Following
1, 3, STRATEGY_RAPID_EXPANSION, Following
1, 3, STRATEGY_ANCIENT_CHANGES, Following
2, 6, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
2, 0, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
2, 1, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
2, 2, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
2, 3, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
6, 4, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
6, 7, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
8, 7, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
1, 5, STRATEGY_EARLY_EXPLORATION, Following
1, 5, STRATEGY_RAPID_EXPANSION, Following
1, 5, STRATEGY_ANCIENT_CHANGES, Following
1, 6, STRATEGY_EARLY_EXPLORATION, Following
1, 6, STRATEGY_RAPID_EXPANSION, Following
1, 6, STRATEGY_ANCIENT_CHANGES, Following
1, 7, STRATEGY_EARLY_EXPLORATION, Following
1, 7, STRATEGY_RAPID_EXPANSION, Following
1, 7, STRATEGY_ANCIENT_CHANGES, Following
1, 8, STRATEGY_EARLY_EXPLORATION, Following
1, 8, STRATEGY_RAPID_EXPANSION, Following
1, 8, STRATEGY_ANCIENT_CHANGES, Following
1, 9, STRATEGY_EARLY_EXPLORATION, Following
