Game Turn, Player, Unit, From X, From Y, To X, To Y, Info, Checksum
002, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_WARRIOR (131073), 57, 65, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_WARRIOR (196610), 58, 64, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_WARRIOR (131073), 57, 65, 57, 63, 256, eb466006
002, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_WARRIOR (196610), 58, 64, 57, 66, 256, a68c24c7
002, LOC_CIVILIZATION_GENEVA_NAME, UNIT_WARRIOR (196610), 70, 12, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_GENEVA_NAME, UNIT_WARRIOR (131073), 70, 14, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_GENEVA_NAME, UNIT_WARRIOR (131073), 70, 14, 70, 13, 256, e94dd24d
002, LOC_CIVILIZATION_GENEVA_NAME, UNIT_WARRIOR (196610), 70, 12, 69, 11, 256, 83ad5431
002, LOC_CIVILIZATION_CAGUANA_NAME, UNIT_WARRIOR (196610), 26, 24, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_CAGUANA_NAME, UNIT_WARRIOR (131073), 24, 23, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_CAGUANA_NAME, UNIT_WARRIOR (131073), 24, 23, 24, 24, 256, 4a287118
002, LOC_CIVILIZATION_CAGUANA_NAME, UNIT_WARRIOR (196610), 26, 24, 25, 23, 256, 5a451717
002, LOC_CIVILIZATION_LAHORE_NAME, UNIT_WARRIOR (196610), 41, 50, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_LAHORE_NAME, UNIT_WARRIOR (131073), 40, 49, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_LAHORE_NAME, UNIT_WARRIOR (131073), 40, 49, 41, 49, 256, 10190d80
002, LOC_CIVILIZATION_LAHORE_NAME, UNIT_WARRIOR (196610), 41, 50, 40, 51, 256,  2ea98b3
002, LOC_CIVILIZATION_CHINGUETTI_NAME, UNIT_WARRIOR (131073), 54, 28, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_CHINGUETTI_NAME, UNIT_WARRIOR (196610), 54, 26, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_CHINGUETTI_NAME, UNIT_WARRIOR (131073), 54, 28, 55, 26, 256, cd93a5b8
002, LOC_CIVILIZATION_CHINGUETTI_NAME, UNIT_WARRIOR (196610), 54, 26, 55, 28, 256, 96d77279
002, LOC_CIVILIZATION_HATTUSA_NAME, UNIT_WARRIOR (131073), 44, 34, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_HATTUSA_NAME, UNIT_WARRIOR (196610), 44, 33, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_HATTUSA_NAME, UNIT_WARRIOR (131073), 44, 34, 46, 34, 256, 5bc36787
002, LOC_CIVILIZATION_HATTUSA_NAME, UNIT_WARRIOR (196610), 44, 33, 44, 34, 256, 181bf6d7
002, LOC_CIVILIZATION_BUENOS_AIRES_NAME, UNIT_WARRIOR (196610), 13, 17, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_BUENOS_AIRES_NAME, UNIT_WARRIOR (131073), 13, 16, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_BUENOS_AIRES_NAME, UNIT_WARRIOR (131073), 13, 16, 14, 16, 256, 3429fab3
002, LOC_CIVILIZATION_BUENOS_AIRES_NAME, UNIT_WARRIOR (196610), 13, 17, 13, 16, 256, a3bdcc11
002, LOC_CIVILIZATION_MEXICO_CITY_NAME, UNIT_WARRIOR (131073), 10, 58, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_MEXICO_CITY_NAME, UNIT_WARRIOR (196610), 11, 58, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_MEXICO_CITY_NAME, UNIT_WARRIOR (131073), 10, 58, 10, 57, 256, 627c5426
002, LOC_CIVILIZATION_MEXICO_CITY_NAME, UNIT_WARRIOR (196610), 11, 58, 11, 56, 256, ce814c87
002, LOC_CIVILIZATION_PERSIA_NAME, UNIT_WARRIOR (131073), 27, 61, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_BABYLON_STK_NAME, UNIT_WARRIOR (131073), 10, 40, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_INDIA_NAME, UNIT_WARRIOR (131073), 9, 29, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_NUBIA_NAME, UNIT_WARRIOR (131073), 32, 14, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_PERSIA_NAME, UNIT_WARRIOR (131073), 27, 61, 26, 61, 16656, 22b28126
002, LOC_CIVILIZATION_NUBIA_NAME, UNIT_WARRIOR (131073), 32, 14, 32, 15, 16656, ac4c72a5
002, LOC_CIVILIZATION_PERSIA_NAME, UNIT_WARRIOR (131073), 26, 61, 25, 61, 16400, 1481e1a0
002, LOC_CIVILIZATION_BABYLON_STK_NAME, UNIT_WARRIOR (131073), 10, 40, 9, 39, 16656, addb40fd
002, LOC_CIVILIZATION_INDIA_NAME, UNIT_WARRIOR (131073), 9, 29, 11, 30, 16640, 603302de
002, LOC_CIVILIZATION_INDIA_NAME, UNIT_WARRIOR (131073), 10, 29, 11, 30, 16384, 6ebad353
002, LOC_CIVILIZATION_BABYLON_STK_NAME, UNIT_WARRIOR (131073), 9, 39, 10, 38, 16400, 7d25279a
002, LOC_CIVILIZATION_NUBIA_NAME, UNIT_WARRIOR (131073), 32, 15, 32, 16, 16400, 47d7f3aa
003, LOC_CIVILIZATION_AZTEC_NAME, UNIT_SCOUT (262147), 51, 60, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 49, 62, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 49, 62, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 49, 62, 48, 61, 276, aea6e321
003, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 49, 62, 46, 63, 276, 535536be
003, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 49, 62, 48, 61, 37121, aea6e321
003, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 48, 61, 46, 63, 36865,   eb3383
003, LOC_CIVILIZATION_AZTEC_NAME, UNIT_SCOUT (262147), 51, 60, 49, 19, 256, 4b007ee2
003, LOC_CIVILIZATION_AZTEC_NAME, UNIT_SCOUT (262147), 51, 58, 51, 57, 0, 75ddab5b
003, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 49, 62, 46, 63, 36865, 535536be
003, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 60, 47, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 60, 47, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_CREE_NAME, UNIT_BUILDER (327680), 61, 44, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_CREE_NAME, UNIT_CREE_OKIHTCITAW (262147), 59, 46, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 60, 47, 61, 44, 276, b72db8f1
003, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 60, 47, 60, 48, 276, e4241e7d
003, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 60, 47, 61, 45, 37121, 3f80db84
003, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 61, 45, 60, 48, 36865, 40d81d94
003, LOC_CIVILIZATION_CREE_NAME, UNIT_BUILDER (327680), 61, 44, 61, 45, 260,  4573b00
003, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 61, 45, 61, 44, 4, d610d9e4
003, LOC_CIVILIZATION_CREE_NAME, UNIT_BUILDER (327680), 61, 44, 61, 45, 260,  4573b00
003, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 61, 45, 61, 44, 4, d610d9e4
003, LOC_CIVILIZATION_CREE_NAME, UNIT_BUILDER (327680), 61, 44, 61, 45, 4366,  4573b00
003, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 61, 45, 61, 44, 4106, ffffffff
003, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 34, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_MALI_NAME, UNIT_SCOUT (262147), 62, 33, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 34, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 34, 64, 34, 276, 7d3e3f3e
003, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 34, 60, 48, 276, a791fa3a
003, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 34, 64, 34, 37121, 7d3e3f3e
003, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 64, 34, 60, 48, 36865, ffffffff
003, LOC_CIVILIZATION_MALI_NAME, UNIT_SCOUT (262147), 62, 33, 49, 19, 256, dd25c620
003, LOC_CIVILIZATION_MALI_NAME, UNIT_SCOUT (262147), 61, 32, 60, 32, 0, d8d6674c
003, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_WARRIOR (131073), 51, 16, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_WARRIOR (131073), 51, 16, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_SCOUT (262147), 51, 18, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_WARRIOR (131073), 51, 16, 60, 48, 276, 5ef0ac2f
003, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_WARRIOR (131073), 51, 16, 60, 48, 37121, ffffffff
003, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_WARRIOR (131073), 51, 16, 60, 48, 37121, ffffffff
003, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_SCOUT (262147), 51, 18, 49, 19, 256, 1fff7ab9
003, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_SCOUT (262147), 50, 19, 49, 65, 0, 6b994cc1
003, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_SCOUT (262147), 51, 20, 51, 21, 0,  eb4673a
003, LOC_CIVILIZATION_KABUL_NAME, UNIT_WARRIOR (131073), 56, 37, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_KABUL_NAME, UNIT_WARRIOR (196610), 55, 36, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_KABUL_NAME, UNIT_WARRIOR (131073), 56, 37, 55, 38, 256, a3dd5bc4
003, LOC_CIVILIZATION_KABUL_NAME, UNIT_WARRIOR (196610), 55, 36, 56, 37, 256, 7b065ea1
003, LOC_CIVILIZATION_NAN_MADOL_NAME, UNIT_WARRIOR (196610), 64, 2, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_NAN_MADOL_NAME, UNIT_WARRIOR (131073), 64, 3, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_NAN_MADOL_NAME, UNIT_WARRIOR (131073), 64, 3, 65, 4, 256, 5442ab0d
003, LOC_CIVILIZATION_NAN_MADOL_NAME, UNIT_WARRIOR (196610), 64, 2, 64, 1, 256, d13e0b61
003, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_WARRIOR (196610), 57, 66, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_WARRIOR (131073), 57, 63, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_WARRIOR (131073), 57, 63, 56, 64, 256, 7e4c1e6d
003, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_WARRIOR (196610), 57, 66, 57, 65, 256, 8b372ba5
003, LOC_CIVILIZATION_GENEVA_NAME, UNIT_WARRIOR (131073), 70, 13, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_GENEVA_NAME, UNIT_WARRIOR (196610), 69, 11, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_GENEVA_NAME, UNIT_WARRIOR (131073), 70, 13, 70, 14, 256, 44f4f320
003, LOC_CIVILIZATION_GENEVA_NAME, UNIT_WARRIOR (196610), 69, 11, 70, 13, 256, 7984dae5
003, LOC_CIVILIZATION_CAGUANA_NAME, UNIT_WARRIOR (131073), 24, 24, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_CAGUANA_NAME, UNIT_WARRIOR (196610), 25, 23, -9999, -9999, 2325, ffffffff
003, LOC_CIVILIZATION_CAGUANA_NAME, UNIT_WARRIOR (131073), 24, 24, 22, 25, 256, 32f98443
003, LOC_CIVILIZATION_CAGUANA_NAME, UNIT_WARRIOR (196610), 25, 23, 26, 24, 256, b0b11100
003, LOC_CIVILIZATION_LAHORE_NAME, UNIT_WARRIOR (196610), 40, 51, -9999, -9999, 2325, ffffffff
