Turn, EventType, GovernorName, Owner, City
6, Governor Appointed, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_INDIA, NO CITY
6, Governor Assigned, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_INDIA, LOC_CITY_NAME_PATNA
7, Governor Promoted, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, CIVILIZATION_BRAZIL, NO CITY
7, Governor Appointed, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, CIVILIZATION_BRAZIL, NO CITY
7, Governor Promoted, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_GERMANY, NO CITY
7, Governor Appointed, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_GERMANY, NO CITY
7, Governor Assigned, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_GERMANY, LOC_CITY_NAME_AACHEN
7, Governor Established, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_EGYPT, NO CITY
8, Governor Promoted, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_BRAZIL, NO CITY
8, Governor Appointed, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_BRAZIL, NO CITY
8, Governor Assigned, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_BRAZIL, LOC_CITY_NAME_JERUSALEM
8, Governor Established, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_BABYLON_STK, NO CITY
9, Governor Promoted, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, CIVILIZATION_MACEDON, NO CITY
9, Governor Appointed, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, CIVILIZATION_MACEDON, NO CITY
9, Governor Established, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_VIETNAM, NO CITY
9, Governor Established, LOC_GOVERNOR_THE_RESOURCE_MANAGER_NAME, CIVILIZATION_MALI, NO CITY
10, Governor Promoted, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_MACEDON, NO CITY
10, Governor Appointed, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_MACEDON, NO CITY
10, Governor Assigned, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_MACEDON, LOC_CITY_NAME_PELLA
10, Governor Established, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_ROME, NO CITY
10, Governor Established, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_INDIA, NO CITY
11, Governor Established, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_BRAZIL, NO CITY
11, Governor Established, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_GERMANY, NO CITY
