Game Turn, Player, KnowledgeType, Location, Other
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 2 0,
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 17, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 17, TRADE, TO -1, VAL 0.00
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 17, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 2 0,
1, 17, ARMY,, 
1, 17, ARMY,, 
1, 62, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 62, TRADE, TO -1, VAL 0.00
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 62, ARMY,, 
1, 63, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 63, TRADE, TO -1, VAL 0.00
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 63, ARMY,, 
1, 0, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 0, TRADE, TO -1, VAL 0.00
1, 0, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 0, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 0, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 0, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 0, ARMY,, 
1, 1, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 1, TRADE, TO -1, VAL 0.00
1, 1, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 1, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 1, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 1, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 1, ARMY,, 
1, 2, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 2, TRADE, TO -1, VAL 0.00
1, 2, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 2, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 2, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 2, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 2, ARMY,, 
1, 3, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 3, TRADE, TO -1, VAL 0.00
1, 3, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 3, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 3, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 3, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 1 0,
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
1, 3, ARMY,, 
2, 4, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
2, 4, TRADE, TO -1, VAL 0.00
2, 4, CITY, 49:61, 0, 1, 100, 20.00, 1, 1, 3, 29, 0, Is original capital, Is capital
2, 4, CITY, 50:15, 0, 1, 100, 0.00, 1, 1, 3, 28, 0, Is original capital, Is capital
2, 4, CITY, 64:33, 0, 1, 100, 0.00, 1, 1, 3, 34, 0, Is original capital, Is capital
2, 4, CITY, 61:44, 0, 1, 100, 0.00, 1, 1, 8, 27, 0, Is original capital, Is capital
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, UNIT_SETTLER 2 1,UNIT_SCOUT 1 0,UNIT_AZTEC_EAGLE_WARRIOR 1 0,
2, 4, ARMY,, UNIT_SETTLER 2 1,UNIT_WARRIOR 1 0,UNIT_CREE_OKIHTCITAW 1 0,
2, 4, ARMY,, UNIT_SETTLER 2 1,UNIT_SCOUT 1 0,UNIT_WARRIOR 1 0,
2, 4, ARMY,, UNIT_SETTLER 2 1,UNIT_SCOUT 1 0,UNIT_WARRIOR 1 0,
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 4, ARMY,, 
2, 5, START LOG, , YIELD_FOOD 5.00 +/- 0.00,YIELD_PRODUCTION 12.00 +/- 1.41,YIELD_GOLD 8.00 +/- 0.00,YIELD_SCIENCE 2.00 +/- 0.00,YIELD_CULTURE 1.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
2, 5, TRADE, TO -1, VAL 0.00
2, 5, CITY, 49:61, 0, 1, 100, 20.00, 1, 1, 3, 29, 0, Is original capital, Is capital
2, 5, CITY, 61:44, 0, 1, 100, 20.00, 1, 1, 8, 27, 0, Is original capital, Is capital
2, 5, CITY, 50:15, 0, 1, 100, 0.00, 1, 1, 3, 28, 0, Is original capital, Is capital
2, 5, CITY, 64:33, 0, 1, 100, 0.00, 1, 1, 3, 34, 0, Is original capital, Is capital
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, UNIT_SETTLER 1 0,UNIT_SCOUT 1 0,UNIT_AZTEC_EAGLE_WARRIOR 1 0,
2, 5, ARMY,, UNIT_SETTLER 2 1,UNIT_WARRIOR 1 0,UNIT_CREE_OKIHTCITAW 1 0,
2, 5, ARMY,, UNIT_SETTLER 2 1,UNIT_SCOUT 1 0,UNIT_WARRIOR 1 0,
2, 5, ARMY,, UNIT_SETTLER 2 1,UNIT_SCOUT 1 0,UNIT_WARRIOR 1 0,
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 5, ARMY,, 
2, 6, START LOG, , YIELD_FOOD 4.99 +/- 0.00,YIELD_PRODUCTION 12.33 +/- 1.15,YIELD_GOLD 8.66 +/- 1.15,YIELD_SCIENCE 1.99 +/- 0.00,YIELD_CULTURE 1.00 +/- 0.00,YIELD_FAITH 1.00 +/- 1.73,
2, 6, TRADE, TO -1, VAL 0.00
2, 6, CITY, 61:44, 0, 1, 100, 20.00, 1, 1, 3, 27, 0, Is original capital, Is capital
2, 6, CITY, 49:61, 0, 1, 100, 20.00, 1, 1, 3, 29, 0, Is original capital, Is capital
2, 6, CITY, 64:33, 0, 1, 100, 20.00, 1, 1, 3, 34, 0, Is original capital, Is capital
2, 6, CITY, 50:15, 0, 1, 100, 0.00, 1, 1, 3, 28, 0, Is original capital, Is capital
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, UNIT_SETTLER 1 0,UNIT_SCOUT 1 0,UNIT_AZTEC_EAGLE_WARRIOR 1 0,
2, 6, ARMY,, UNIT_SETTLER 1 0,UNIT_BUILDER 1 0,UNIT_WARRIOR 1 0,UNIT_CREE_OKIHTCITAW 1 0,
2, 6, ARMY,, UNIT_SETTLER 2 1,UNIT_SCOUT 1 0,UNIT_WARRIOR 1 0,
2, 6, ARMY,, UNIT_SETTLER 2 1,UNIT_SCOUT 1 0,UNIT_WARRIOR 1 0,
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 6, ARMY,, 
2, 7, START LOG, , YIELD_FOOD 5.00 +/- 0.00,YIELD_PRODUCTION 12.00 +/- 1.15,YIELD_GOLD 8.50 +/- 1.00,YIELD_SCIENCE 2.25 +/- 0.49,YIELD_CULTURE 1.00 +/- 0.00,YIELD_FAITH 0.75 +/- 1.50,
2, 7, TRADE, TO -1, VAL 0.00
2, 7, CITY, 64:33, 0, 1, 100, 20.00, 1, 1, 3, 34, 0, Is original capital, Is capital
2, 7, CITY, 61:44, 0, 1, 100, 20.00, 1, 1, 3, 27, 0, Is original capital, Is capital
2, 7, CITY, 49:61, 0, 1, 100, 20.00, 1, 1, 3, 29, 0, Is original capital, Is capital
2, 7, CITY, 50:15, 0, 1, 100, 20.00, 1, 1, 3, 28, 0, Is original capital, Is capital
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, UNIT_SETTLER 1 0,UNIT_SCOUT 1 0,UNIT_AZTEC_EAGLE_WARRIOR 1 0,
2, 7, ARMY,, UNIT_SETTLER 1 0,UNIT_BUILDER 1 0,UNIT_WARRIOR 1 0,UNIT_CREE_OKIHTCITAW 1 0,
2, 7, ARMY,, UNIT_SETTLER 1 0,UNIT_SCOUT 1 0,UNIT_WARRIOR 1 0,
2, 7, ARMY,, UNIT_SETTLER 2 1,UNIT_SCOUT 1 0,UNIT_WARRIOR 1 0,
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, 
2, 7, ARMY,, 
