Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food
7, CIVILIZATION_NAN_MADOL, 1, 2, 1, 1, 2, 0, 0, 0, 7, 0, 50, 0, 4, 1, 9, 0, 2, 6
7, CIVILIZATION_SAMARKAND, 1, 3, 1, 1, 2, 0, 0, 0, 7, 1, 35, 10, 3, 1, 5, 2, 2, 12
7, CIVILIZATION_GENEVA, 1, 2, 1, 1, 2, 0, 0, 0, 7, 0, 35, 0, 4, 1, 5, 0, 5, 5
7, CIVILIZATION_CAGUANA, 1, 2, 1, 1, 2, 0, 0, 0, 7, 0, 35, 0, 3, 2, 5, 0, 2, 8
7, CIVILIZATION_LAHORE, 1, 2, 1, 1, 2, 0, 0, 0, 7, 0, 35, 0, 3, 1, 5, 0, 5, 5
7, CIVILIZATION_CHINGUETTI, 1, 2, 1, 1, 2, 0, 0, 0, 7, 1, 35, 0, 3, 2, 5, 0, 3, 7
7, CIVILIZATION_HATTUSA, 1, 3, 1, 1, 2, 0, 0, 0, 7, 1, 35, 0, 3, 1, 5, 0, 3, 12
7, CIVILIZATION_BUENOS_AIRES, 1, 2, 1, 1, 2, 0, 0, 0, 7, 0, 35, 0, 3, 1, 5, 0, 4, 7
7, CIVILIZATION_MEXICO_CITY, 1, 2, 1, 1, 2, 0, 0, 0, 7, 2, 35, 0, 3, 1, 5, 0, 3, 7
7, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_PERSIA, 1, 2, 0, 1, 3, 0, 0, 0, 8, 0, 56, 1, 3, 2, 6, 1, 8, 7
7, CIVILIZATION_BABYLON_STK, 1, 3, 0, 0, 2, 0, 0, 0, 8, 1, 30, 0, 4, 2, 5, 0, 10, 11
7, CIVILIZATION_INDIA, 1, 3, 1, 1, 2, 0, 0, 0, 8, 0, 36, 1, 3, 2, 6, 1, 7, 13
7, CIVILIZATION_NUBIA, 1, 2, 1, 1, 3, 0, 0, 0, 9, 0, 16, 1, 3, 2, 6, 1, 9, 7
8, CIVILIZATION_AZTEC, 2, 5, 1, 1, 3, 0, 0, 0, 16, 1, 79, 6, 4, 3, 8, 3, 23, 20
8, CIVILIZATION_CREE, 2, 5, 1, 1, 4, 0, 0, 0, 16, 1, 29, 0, 5, 4, 11, 0, 23, 22
8, CIVILIZATION_MALI, 1, 3, 1, 1, 4, 0, 0, 0, 8, 3, 66, 13, 3, 3, 15, 5, 17, 10
8, CIVILIZATION_MONGOLIA, 1, 2, 1, 1, 2, 0, 0, 0, 9, 1, 59, 1, 5, 1, 10, 1, 15, 7
8, CIVILIZATION_KABUL, 1, 2, 1, 1, 2, 0, 0, 0, 7, 0, 40, 0, 3, 1, 5, 0, 4, 5
8, CIVILIZATION_NAN_MADOL, 1, 2, 2, 1, 2, 0, 0, 0, 7, 1, 56, 0, 4, 1, 6, 0, 2, 8
8, CIVILIZATION_SAMARKAND, 1, 3, 1, 1, 2, 0, 0, 0, 7, 1, 40, 12, 3, 1, 5, 2, 2, 12
8, CIVILIZATION_GENEVA, 1, 2, 2, 1, 2, 0, 0, 0, 7, 0, 40, 0, 4, 1, 5, 0, 5, 5
8, CIVILIZATION_CAGUANA, 1, 3, 1, 1, 2, 0, 0, 0, 7, 1, 40, 0, 3, 2, 5, 0, 2, 12
8, CIVILIZATION_LAHORE, 1, 2, 1, 1, 2, 0, 0, 0, 7, 0, 40, 0, 3, 1, 5, 0, 5, 5
8, CIVILIZATION_CHINGUETTI, 1, 2, 1, 1, 2, 0, 0, 0, 7, 2, 40, 0, 3, 2, 5, 0, 3, 7
8, CIVILIZATION_HATTUSA, 1, 3, 1, 1, 2, 0, 0, 0, 7, 1, 40, 0, 3, 1, 5, 0, 3, 12
8, CIVILIZATION_BUENOS_AIRES, 1, 2, 1, 1, 2, 0, 0, 0, 7, 0, 40, 0, 3, 1, 5, 0, 4, 7
8, CIVILIZATION_MEXICO_CITY, 1, 2, 1, 1, 2, 0, 0, 0, 7, 2, 40, 0, 3, 1, 5, 0, 3, 7
8, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_PERSIA, 1, 3, 0, 1, 3, 0, 0, 0, 9, 0, 83, 2, 3, 2, 7, 1, 9, 9
8, CIVILIZATION_BABYLON_STK, 1, 3, 1, 1, 2, 0, 0, 0, 8, 1, 35, 0, 4, 2, 5, 0, 10, 11
8, CIVILIZATION_INDIA, 1, 4, 1, 1, 3, 0, 0, 0, 9, 0, 42, 2, 4, 3, 6, 1, 8, 16
8, CIVILIZATION_NUBIA, 1, 2, 1, 1, 4, 0, 0, 0, 9, 1, 24, 2, 3, 2, 8, 1, 10, 6
9, CIVILIZATION_AZTEC, 2, 5, 1, 1, 4, 0, 0, 0, 16, 3, 88, 10, 4, 3, 8, 3, 23, 20
9, CIVILIZATION_CREE, 2, 5, 1, 1, 4, 0, 0, 0, 17, 0, 41, 0, 5, 4, 11, 0, 23, 23
9, CIVILIZATION_MALI, 1, 3, 1, 1, 4, 0, 0, 0, 9, 4, 81, 23, 3, 3, 15, 10, 17, 10
9, CIVILIZATION_MONGOLIA, 1, 3, 1, 1, 2, 0, 0, 0, 9, 1, 69, 3, 5, 1, 10, 1, 17, 10
9, CIVILIZATION_KABUL, 1, 2, 1, 1, 2, 0, 0, 0, 7, 0, 45, 0, 3, 1, 5, 0, 4, 5
9, CIVILIZATION_NAN_MADOL, 1, 3, 2, 1, 2, 0, 0, 0, 7, 1, 65, 0, 4, 1, 9, 0, 2, 9
9, CIVILIZATION_SAMARKAND, 1, 4, 1, 1, 2, 0, 0, 0, 7, 1, 45, 14, 4, 2, 5, 2, 3, 14
