Game Turn, Player, Action, Tech, Score, Boost, Turns
1, 16, Tech, TECH_MASONRY, -9938.8, , 52
1, 16, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 16, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 16, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 16, Tech, TECH_CURRENCY, -9902.5, , 115
1, 16, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 16, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 16, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 16, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 17, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 17, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 17, Tech, TECH_MINING, 60.3, , 12
1, 17, Tech, TECH_SAILING, 32.3, , 25
1, 17, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 17, Tech, TECH_IRRIGATION, 89.8, , 37
1, 17, Tech, TECH_ARCHERY, 71.7, , 37
1, 17, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 17, Tech, TECH_MASONRY, -9938.8, , 52
1, 17, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 17, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 17, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 17, Tech, TECH_CURRENCY, -9902.5, , 115
1, 17, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 17, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 17, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 17, Tech, TECH_ENGINEERING, -9938.8, , 182
1, 62, Tech, TECH_POTTERY, 78.3, RESEARCHING, 12
1, 62, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, , 12
1, 62, Tech, TECH_MINING, 60.3, , 12
1, 62, Tech, TECH_SAILING, 32.3, , 25
1, 62, Tech, TECH_ASTROLOGY, 51.1, , 25
1, 62, Tech, TECH_IRRIGATION, 89.8, , 37
1, 62, Tech, TECH_ARCHERY, 71.7, , 37
1, 62, Tech, TECH_WRITING, 96.5, GOAL, 37
1, 62, Tech, TECH_MASONRY, -9938.8, , 52
1, 62, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 62, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 62, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 62, Tech, TECH_CURRENCY, -9902.5, , 115
1, 62, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 62, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 62, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 62, Tech, TECH_ENGINEERING, -9938.8, , 182
