Game Turn, From, To, Initiator, Type, SubType, Message
1, 1, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
1, 1, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
1, 4, 1, ?, ?, ?, ?, Closing Session
5, 8, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
5, 8, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
5, 8, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
5, 9, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
5, 9, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
5, 9, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
6, 7, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
6, 7, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
6, 7, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
6, 7, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
6, 7, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
6, 7, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
6, 8, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
6, 8, 7, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
6, 8, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
6, 9, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
6, 9, 7, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
6, 9, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
6, 8, 5, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
6, 8, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
6, 8, 7, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
6, 8, 9, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 5, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 5, 7, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 5, 8, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 5, 9, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 6, 5, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 6, 7, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 6, 8, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 6, 9, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 6, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
7, 6, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
7, 6, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
7, 6, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
7, 6, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
7, 6, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
7, 6, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
7, 6, 7, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
7, 6, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
7, 7, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
7, 7, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
7, 7, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
7, 8, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
7, 8, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
7, 8, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
7, 9, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
7, 9, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
7, 9, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
7, 7, 5, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 7, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 7, 8, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
7, 7, 9, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
9, 5, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
9, 5, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
9, 5, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
9, 5, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
9, 5, 7, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
9, 5, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
9, 5, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
9, 5, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
9, 5, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
9, 5, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
9, 5, 9, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
9, 5, 9, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
9, 6, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
9, 6, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
9, 6, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
9, 7, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
9, 7, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
9, 7, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
9, 8, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
9, 8, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
9, 8, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
9, 9, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
9, 9, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
9, 9, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
9, 9, 5, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
9, 9, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
